transaction_id,customer_id,transaction_date,amount,category,gender,age,city,payment_method,true_segment
TXN_003207,CUST_0201,2024-03-08,308.42,Books,Female,42,Philadelphia,Credit Card,champion
TXN_013144,CUST_0793,2023-10-15,197.79,Sports,Female,38,San Diego,Credit Card,champion
TXN_016253,CUST_0996,2023-07-22,61.32,Home & Garden,Male,30,San Diego,Cash,at_risk
TXN_012300,CUST_0738,2024-01-09,128.27,Home & Garden,Female,25,Chicago,PayPal,loyal
TXN_012360,CUST_0742,2023-07-14,158.76,Health & Beauty,Male,50,Phoenix,PayPal,loyal
TXN_015255,CUST_0933,2024-04-25,242.35,Clothing,Other,53,Philadelphia,Cash,loyal
TXN_013289,CUST_0800,2024-06-25,62.32,Books,Female,66,Philadelphia,Debit Card,loyal
TXN_000047,CUST_0003,2023-04-25,368.12,Toys,Female,33,Phoenix,Debit Card,champion
TXN_016037,CUST_0985,2023-11-08,,Toys,Female,54,San Diego,Credit Card,loyal
TXN_007626,CUST_0463,2022-10-08,36.04,Groceries,Female,49,San Antonio,Debit Card,at_risk
TXN_010794,CUST_0643,2024-04-12,142.53,Clothing,Male,58,San Diego,Cash,loyal
TXN_002957,CUST_0190,2023-01-28,423.42,Sports,Male,45,San Antonio,PayPal,champion
TXN_012334,CUST_0740,2024-03-24,130.78,Sports,Male,63,Los Angeles,Cash,loyal
TXN_013266,CUST_0798,2023-11-21,274.55,Groceries,Female,66,New York,PayPal,champion
TXN_007528,CUST_0456,2024-06-15,198.79,Clothing,Female,33,Los Angeles,Cash,champion
TXN_000828,CUST_0058,2023-05-14,175.12,Groceries,Male,52,Chicago,Credit Card,new
TXN_015199,CUST_0931,2023-01-31,168.36,Electronics,Male,35,Phoenix,Cash,champion
TXN_014549,CUST_0895,2024-04-09,104.51,Toys,Female,53,Los Angeles,Credit Card,loyal
TXN_000291,CUST_0024,2023-09-19,138.13,Books,Male,64,San Antonio,Credit Card,champion
TXN_003657,CUST_0228,2023-11-11,79.85,Toys,Male,57,Houston,Cash,loyal
TXN_009864,CUST_0595,2024-03-20,249.24,Clothing,Female,25,Philadelphia,Cash,champion
TXN_006084,CUST_0369,2023-10-16,315.8,Books,Male,64,New York,Cash,champion
TXN_013609,CUST_0822,2023-10-15,124.29,Home & Garden,Male,46,San Diego,Credit Card,loyal
TXN_003184,CUST_0200,2022-08-31,13.15,Sports,Female,57,Chicago,Cash,dormant
TXN_010563,CUST_0632,2023-10-21,153.83,Toys,Female,48,Houston,Credit Card,champion
TXN_008959,CUST_0543,2023-07-11,158.21,Toys,Male,54,Chicago,Credit Card,loyal
TXN_010194,CUST_0607,2023-08-25,453.7,Electronics,Male,55,San Diego,Cash,champion
TXN_006688,CUST_0412,2024-05-02,24.26,Clothing,Female,47,San Antonio,Debit Card,dormant
TXN_008439,CUST_0508,2023-11-19,405.73,Health & Beauty,Female,24,San Diego,Debit Card,champion
TXN_009084,CUST_0551,2024-02-26,214.89,Sports,Female,46,San Diego,Credit Card,loyal
TXN_013231,CUST_0796,2023-09-23,57.3,Clothing,Female,42,San Antonio,PayPal,at_risk
TXN_012030,CUST_0720,2024-05-15,118.89,Toys,Female,39,Los Angeles,Cash,champion
TXN_014975,CUST_0917,2023-11-20,321.01,Clothing,Male,41,San Diego,Credit Card,champion
TXN_015306,CUST_0939,2023-12-19,96.39,Clothing,Male,66,New York,PayPal,at_risk
TXN_004201,CUST_0255,2023-02-07,184.61,Home & Garden,Male,62,Houston,Cash,loyal
TXN_001288,CUST_0088,2023-11-30,78.77,Home & Garden,Female,30,San Antonio,PayPal,at_risk
TXN_002380,CUST_0157,2024-06-26,47.29,Books,Female,66,Houston,Credit Card,dormant
TXN_001713,CUST_0115,2024-05-15,162.26,Sports,Female,31,Phoenix,PayPal,champion
TXN_016315,CUST_1000,2024-03-23,183.82,Health & Beauty,Male,61,Chicago,PayPal,champion
TXN_013496,CUST_0812,2023-05-14,154.47,Health & Beauty,Female,63,Phoenix,Debit Card,loyal
TXN_011322,CUST_0670,2023-08-18,121.36,Home & Garden,Male,19,Los Angeles,Cash,loyal
TXN_015104,CUST_0926,2023-04-27,157.41,Clothing,Male,36,Houston,Debit Card,champion
TXN_006112,CUST_0369,2024-06-22,332.05,Books,Male,64,New York,Cash,champion
